27.235	-2.1029
26.086	-4.8754
24.938	-7.648
23.789	-10.421
22.641	-13.193
21.493	-15.966
20.344	-18.738
19.267	-20.66
17.107	-22.481
14.776	-24.078
12.297	-25.433
9.6945	-26.534
6.9954	-27.37
4.2263	-27.932
1.415	-28.215
-1.8437	-28.549
-4.8949	-29.383
-7.7383	-30.3
-10.377	-30.936
-12.546	-30.817
-14.212	-29.614
-15.667	-27.426
-17.021	-24.812
-18.523	-22.067
-19.93	-19.737
-21.079	-16.965
-22.227	-14.192
-23.376	-11.42
-24.524	-8.6471
-25.672	-5.8746
-26.821	-3.102
-27.969	-0.32945
-28.92	2.2709
-28.943	3.8432
-27.347	5.0045
-24.57	6.3567
-21.752	9.5172
-22.057	13.498
-23.023	16.27
-23.115	17.93
-21.63	19.075
-18.819	21.776
-17.443	24.636
-16.283	27.412
-15.076	29.913
-13.651	31.614
-11.891	32.051
-9.4442	31.492
-6.7535	30.438
-3.8957	29.299
-0.79265	28.376
0.20215	27.021
1.6531	24.616
3.1159	21.939
5.1641	19.158
8.7129	17.298
12.351	17.485
15.382	18.319
18.154	19.085
20.803	19.455
22.402	18.578
23.162	17.434
22.648	15.171
21.712	12.014
22.832	7.7539
25.859	5.7125
28.249	4.4437
29.019	3.3012
28.511	1.0441
