30.468	-3.4423
29.32	-6.2148
28.171	-8.9874
27.023	-11.76
25.875	-14.533
24.726	-17.305
23.578	-20.078
21.654	-23.22
19.226	-25.267
16.606	-27.061
13.82	-28.584
10.896	-29.822
7.8621	-30.761
4.7499	-31.393
1.5903	-31.71
-1.1052	-31.97
-3.8398	-32.72
-6.7097	-33.645
-9.9026	-34.404
-13.671	-34.131
-16.85	-31.914
-18.73	-29.12
-20.138	-26.402
-21.516	-23.883
-23.164	-21.077
-24.312	-18.304
-25.461	-15.532
-26.609	-12.759
-27.758	-9.9865
-28.906	-7.214
-30.054	-4.4414
-31.203	-1.6688
-32.302	1.3667
-31.958	5.6208
-28.913	8.1344
-26.293	9.4032
-25.11	10.505
-25.383	12.41
-26.387	15.306
-26.241	19.503
-23.231	22.188
-21.882	23.469
-20.658	26.02
-19.504	28.781
-18.097	31.682
-15.64	34.494
-11.705	35.546
-8.3086	34.803
-5.411	33.67
-2.6959	32.587
-0.048777	31.796
3.0742	29.021
4.7259	26.292
6.1406	23.7
7.6231	21.649
9.2935	20.749
11.614	20.906
14.368	21.669
17.381	22.498
20.671	22.952
24.446	21.42
26.658	17.607
25.956	14.028
25.166	11.445
25.433	10.096
27.392	8.8592
30.285	7.291
32.514	3.4925
31.82	-0.096911
